text;budget;location;;;;;;;;;;;;;;;
bonsoir, mba mtady trano moramora nefa tsara manodidina an'ampefiloa , andavamamba, 67ha;FALSE;TRUE;;;;;;;;;;;;;;;
ok hojerevana akaiky enao merci;FALSE;FALSE;;;;;;;;;;;;;;;
;FALSE;FALSE;;;;;;;;;;;;;;;
ok. merci.;FALSE;FALSE;;;;;;;;;;;;;;;
le trano tsy maninona na kely, na une pièce fotsini fa misy jiro sy rano, prix entre 400 à 450 000 fmg;TRUE;FALSE;;;;;;;;;;;;;;;
Bonjour!so de mahita mba mahita trano eo analakely nareo na manodidina mahamasina?;FALSE;TRUE;;;;;;;;;;;;;;;
9:48;FALSE;FALSE;;;;;;;;;;;;;;;
TranoAhofa.com;FALSE;FALSE;;;;;;;;;;;;;;;
bjr hipetrahana sa usage c/cial?;FALSE;FALSE;;;;;;;;;;;;;;;
Envoyé par Andry Soamamy;FALSE;FALSE;;;;;;;;;;;;;;;
Nata Ny Aina Rlmbs;FALSE;FALSE;;;;;;;;;;;;;;;
Nata;FALSE;FALSE;;;;;;;;;;;;;;;
Bnjr! Efa nahita fa merci beaucoup;FALSE;FALSE;;;;;;;;;;;;;;;
Bonjour, mitady trano ahofa quartier Ankadivato, Antsahabe, Ampandrana, Tsiadana, Ankorahotra. minimum 2 chambres, SDE, Cuisine (optionnelle), parking sécurisé (idéal raha bord de route) fa hatao bureau. Budget max: 700 000Ar Merci;TRUE;TRUE;;;;;;;;;;;;;;;TRUE
TranoAhofa.com;FALSE;FALSE;;;;;;;;;;;;;;;FALSE
Bonjour, misy vitsivitsy ao, fa @ Zoma vao afaka maka sary izahay dia alefako eto aminao eto.Envoyé par Mendrika Ramarlina;FALSE;FALSE;;;;;;;;;;;;;;;FALSE
RZnh Zix;FALSE;FALSE;;;;;;;;;;;;;;;FALSE
Zix;FALSE;FALSE;;;;;;;;;;;;;;;FALSE
D'accord, merci;FALSE;FALSE;;;;;;;;;;;;;;;FALSE
bjr eny antsahabe misy 3chb bdr 1er etage parking 4M_fmg afaka manao visite f miantso mialoha fotsiny tel0348266839 mr Andry (mialatsiny.f ts nahazo sary izahay merciEnvoyé par Andry Soamamy;TRUE;FALSE;;;;;;;;;;;;;;;FALSE
RZnh Zix;FALSE;FALSE;;;;;;;;;;;;;;;FALSE
Zix;FALSE;FALSE;;;;;;;;;;;;;;;FALSE
Bsr, merci bcp! Ho jereko io @ semaine iny. Mila miantso 1jour a l'avance mitsy v sa mety oe maraina miantso de hariva ny visite?;FALSE;FALSE;;;;;;;;;;;;;;;FALSE
9:43;FALSE;FALSE;;;;;;;;;;;;;;;FALSE
1h avant d mety merci;FALSE;FALSE;;;;;;;;;;;;;;;FALSE
Bonjour aiza kay no agrence ahitana anareo;FALSE;FALSE;;;;;;;;;;;;;;;TRUE
SAM 14:40;FALSE;FALSE;;;;;;;;;;;;;;;FALSE
;FALSE;FALSE;;;;;;;;;;;;;;;FALSE
TranoAhofa.com;FALSE;FALSE;;;;;;;;;;;;;;;FALSE
eny AntsakaviroSeen by Nolan Seth at Dimanche 14:27;FALSE;FALSE;;;;;;;;;;;;;;;FALSE
Envoyé par Andry Soamamy;FALSE;FALSE;;;;;;;;;;;;;;;FALSE
DIM 14:28;FALSE;FALSE;;;;;;;;;;;;;;;FALSE
;FALSE;FALSE;;;;;;;;;;;;;;;FALSE
Nolan Seth;FALSE;FALSE;;;;;;;;;;;;;;;FALSE
Nolan;FALSE;FALSE;;;;;;;;;;;;;;;FALSE
Aiza ho aiza eny kay azafady;FALSE;FALSE;;;;;;;;;;;;;;;TRUE
;FALSE;FALSE;;;;;;;;;;;;;;;FALSE
Bjr;FALSE;FALSE;;;;;;;;;;;;;;;FALSE
Très urgent;FALSE;FALSE;;;;;;;;;;;;;;;FALSE
Mitady trano/ local pour bureau à Sambava, construction en dure, confort 4 à  6 bureaux selon superficie + salle de reunion+ toilettes interieures;FALSE;FALSE;;;;;;;;;;;;;;;TRUE
Mitady maika maisons pour habitation ihany koa sambava, sécurisé, confort;FALSE;FALSE;;;;;;;;;;;;;;;TRUE
2 à 3 pièces + cuisine+ wc/douche interieure;FALSE;TRUE;;;;;;;;;;;;;;;TRUE
Iholy Rasendrarivo;FALSE;FALSE;;;;;;;;;;;;;;;TRUE
Iholy;FALSE;FALSE;;;;;;;;;;;;;;;TRUE
Merci;FALSE;FALSE;;;;;;;;;;;;;;;TRUE
;FALSE;FALSE;;;;;;;;;;;;;;;
;FALSE;FALSE;;;;;;;;;;;;;;;TRUE
Bjr. Mitady trano hofaina habitation. Mety ra efitra 1 lehibe manondidina rasalama/ ankadifotsy/ antanimena na eo 67 akaikn poste . wc s douche int. Budget: entre 100.000 à 160.000 ariary. Merci;TRUE;FALSE;;;;;;;;;;;;;;;FALSE
SAM 14:43;FALSE;TRUE;;;;;;;;;;;;;;;FALSE
ok misy eo antsakaviro 1chb semi-conf park bdr750000Seen by Momo Jo Nadhir at Samedi 16:17;FALSE;FALSE;;;;;;;;;;;;;;;FALSE
Momo Jo Nadhir;FALSE;FALSE;;;;;;;;;;;;;;;FALSE
Momo;FALSE;FALSE;;;;;;;;;;;;;;;FALSE
Tokana le wc s douche d intérieur ?;FALSE;FALSE;;;;;;;;;;;;;;;TRUE
;FALSE;FALSE;;;;;;;;;;;;;;;
;FALSE;FALSE;;;;;;;;;;;;;;;
